id,cross_session_id,GFP,Gad2,Vip,Npy,Sst,Pdyn,Cck,Sncg,Pvalb,Reln,Tac1,Slc17a7
10,773,59,13,1,3,4,1,33,0,106,5,14,0
14,716,24,2,71,0,0,4,34,2,11,0,0,102
23,748,58,75,1,0,1,1,56,0,117,2,80,1
26,766,55,13,0,3,3,6,20,1,10,6,9,6
31,749,38,32,0,1,0,0,48,1,43,2,43,2
33,747,96,27,1,4,0,0,31,0,161,3,3,0
34,736,0,0,0,1,2,0,36,2,9,2,0,181
37,758,80,27,2,3,2,0,25,0,107,12,4,4
39,710,77,29,0,1,1,0,41,0,87,7,3,0
45,742,67,16,2,1,0,0,11,0,123,4,1,4
51,751,49,23,0,0,0,0,28,0,25,3,16,0
53,778,42,12,101,0,0,0,0,0,7,4,2,1
55,761,32,10,1,0,0,0,35,0,26,5,4,0
61,780,0,0,0,0,0,0,75,0,0,0,0,0
65,763,73,25,1,3,0,0,27,0,110,7,6,1
66,775,42,49,0,1,0,0,26,0,168,3,3,4
68,707,32,1,35,0,0,2,1,0,0,1,3,1
71,771,44,15,0,1,7,4,15,1,10,2,24,0
75,734,0,0,0,0,0,0,0,0,42,0,0,0
83,756,0,0,2,0,0,0,23,0,0,0,0,0
88,726,57,28,0,0,2,1,27,0,34,0,72,2
90,767,82,12,0,1,1,0,23,0,36,3,43,0
